timestamp,open,high,low,close
1772896260000,24628.888,24628.888,24628.888,24628.888
1772896320000,24628.888,24628.888,24628.888,24628.888
1772896380000,24628.888,24628.888,24628.888,24628.888
1772896440000,24628.888,24628.888,24628.888,24628.888
1772896500000,24628.888,24628.888,24628.888,24628.888
1772896560000,24628.888,24628.888,24628.888,24628.888
1772896620000,24628.888,24628.888,24628.888,24628.888
1772896680000,24628.888,24628.888,24628.888,24628.888
1772896740000,24628.888,24628.888,24628.888,24628.888
1772896800000,24628.888,24628.888,24628.888,24628.888
1772896860000,24628.888,24628.888,24628.888,24628.888
1772896920000,24628.888,24628.888,24628.888,24628.888
1772896980000,24628.888,24628.888,24628.888,24628.888
1772897040000,24628.888,24628.888,24628.888,24628.888
1772897100000,24628.888,24628.888,24628.888,24628.888
1772897160000,24628.888,24628.888,24628.888,24628.888
1772897220000,24628.888,24628.888,24628.888,24628.888
1772897280000,24628.888,24628.888,24628.888,24628.888
1772897340000,24628.888,24628.888,24628.888,24628.888
1772897400000,24628.888,24628.888,24628.888,24628.888
1772897460000,24628.888,24628.888,24628.888,24628.888
1772897520000,24628.888,24628.888,24628.888,24628.888
1772897580000,24628.888,24628.888,24628.888,24628.888
1772897640000,24628.888,24628.888,24628.888,24628.888
1772897700000,24628.888,24628.888,24628.888,24628.888
1772897760000,24628.888,24628.888,24628.888,24628.888
1772897820000,24628.888,24628.888,24628.888,24628.888
1772897880000,24628.888,24628.888,24628.888,24628.888
1772897940000,24628.888,24628.888,24628.888,24628.888
1772898000000,24628.888,24628.888,24628.888,24628.888
1772898060000,24628.888,24628.888,24628.888,24628.888
1772898120000,24628.888,24628.888,24628.888,24628.888
